name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
paris,2023-10-16,56,41.5,48.2,56,37.8,45.7,35.7,62.7,0,0,0,,0,0,28.3,14,79.4,1020,77.2,15.8,52.3,4.7,3,,2023-10-16T08:11:55,2023-10-16T18:59:51,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-17,61.7,42.1,51.1,61.7,38.1,49.3,40.9,68.6,0,0,0,,0,0,21.1,9.6,83.2,1012.5,79.6,15,23.5,2.1,2,,2023-10-17T08:13:27,2023-10-17T18:57:54,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,LFPV,07145099999,07153099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
paris,2023-10-18,65.5,52.1,58.4,65.5,52.1,58.4,53,82.4,0.194,100,20.83,rain,0,0,40.3,15.1,158.7,999.6,91.8,13.1,12.4,1,1,,2023-10-18T08:14:59,2023-10-18T18:55:58,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-19,72.1,59.5,63.5,72.1,59.5,63.5,57.6,81.8,0.032,100,12.5,rain,0,0,26.8,13.8,181.2,989.6,90.6,14.4,24.1,2.1,2,,2023-10-19T08:16:31,2023-10-19T18:54:03,0.17,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-20,64.6,56.8,59.4,64.6,56.8,59.4,56.1,89.1,0.289,100,50,rain,0,0,24.7,10.4,207.2,980.4,96,11.6,37,3.3,4,,2023-10-20T08:18:04,2023-10-20T18:52:09,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-21,59.8,54,56.2,59.8,54,56.2,50.8,82.7,0.091,100,20.83,rain,0,0,44.6,21.5,214.5,992.9,98.1,13,17.5,1.7,1,,2023-10-21T08:19:37,2023-10-21T18:50:16,0.24,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-22,60.8,51.4,55.2,60.8,51.4,55.2,49.9,83.1,0.027,100,29.17,rain,0,0,30,12.5,217.2,1008,83.6,12.5,19,1.6,1,,2023-10-22T08:21:10,2023-10-22T18:48:24,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-23,53.5,47.2,51,53.5,45,50.3,48.7,91.8,0.252,100,41.67,rain,0,0,20,8.7,125.4,1007.7,88.5,10.6,7.3,0.6,0,,2023-10-23T08:22:44,2023-10-23T18:46:33,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-24,61.4,52,55.2,61.4,52,55.2,50.1,83.8,0.05,100,12.5,rain,0,0,21.8,10.6,216.5,1004.9,82,12.1,32.5,2.8,4,,2023-10-24T08:24:17,2023-10-24T18:44:43,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-25,58.8,52.2,55.4,58.8,52.2,55.4,51.8,87.8,0.265,100,37.5,rain,0,0,28.2,14.4,224.6,996.5,95.7,12.9,23.3,1.9,1,,2023-10-25T08:25:51,2023-10-25T18:42:54,0.38,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-26,59,50.7,55.2,59,50.7,55.2,51.9,89.1,0.689,100,33.33,rain,0,0,25,10.2,209.9,995.8,96.9,8.5,23.6,2,1,,2023-10-26T08:27:26,2023-10-26T18:41:07,0.41,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-27,59.3,50.2,54,59.3,50.2,54,50.6,88.7,0.13,100,33.33,rain,0,0,28.7,10.7,227.5,995.3,93.1,14,20.5,1.6,1,,2023-10-27T08:29:00,2023-10-27T18:39:21,0.45,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-28,57.5,51.6,54.5,57.5,51.6,54.5,51,88.2,0.11,100,33.33,rain,0,0,32.8,15.4,204.1,996.5,99,13.8,13.1,1.1,1,,2023-10-28T08:30:35,2023-10-28T18:37:36,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-29,61.8,52.8,56.3,61.8,52.8,56.3,50.7,82.4,0.301,100,16.67,rain,0,0,41.1,16.8,213.8,996.2,82.7,13.4,21,1.7,1,,2023-10-29T07:32:10,2023-10-29T17:35:52,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-30,55.8,49.6,52.5,55.8,46.4,52.4,50.8,93.7,0.235,100,29.17,rain,0,0,20,8.8,200.2,999.1,90.9,11.2,9.5,0.6,1,,2023-10-30T07:33:45,2023-10-30T17:34:10,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-31,59.7,46.8,53.5,59.7,42.7,52.7,49.7,87.3,0.008,100,12.5,rain,0,0,23.7,11.7,223.8,1005.5,90.5,13.8,23.2,1.9,1,,2023-10-31T07:35:21,2023-10-31T17:32:30,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-01,56.5,52.1,54.3,56.5,52.1,54.3,50.2,86,0.03,100,12.5,rain,0,0,32.9,15.9,200.1,1001.2,87.9,14.6,18.6,1.6,1,,2023-11-01T07:36:56,2023-11-01T17:30:50,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-02,57.1,47.8,53,57.1,42.9,52.3,44.2,72.6,0.31,100,37.5,rain,0,0,54.3,23.1,217.8,981.9,91.1,13.2,18.8,1.6,1,,2023-11-02T07:38:32,2023-11-02T17:29:13,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-03,50.2,42.5,46.7,50.2,37.3,42.8,42.3,84.9,0.007,100,8.33,rain,0,0,25.5,10.9,217,989.6,79.7,15.9,17,1.4,1,,2023-11-03T07:40:07,2023-11-03T17:27:36,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-04,58.3,47,50.7,58.3,41.6,48.5,46.5,86,0.276,100,29.17,rain,0,0,43.4,17.3,204.2,979.7,92.8,11,13,1.1,1,,2023-11-04T07:41:43,2023-11-04T17:26:02,0.71,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-05,57.1,49.4,52.4,57.1,45.3,52.1,46.3,80.2,0.157,100,50,rain,0,0,39.4,17,243.8,985.5,81.9,14,12.3,0.9,1,,2023-11-05T07:43:19,2023-11-05T17:24:29,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-06,56.6,47.3,50.6,56.6,43.2,48.3,45.6,83.4,0.016,100,16.67,rain,0,0,30.7,13.5,221.9,1005.1,86.3,12.7,23.7,2.1,3,,2023-11-06T07:44:54,2023-11-06T17:22:58,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
paris,2023-11-07,54.8,45.5,49.5,54.8,41,47,43.4,80.3,0.005,100,8.33,rain,0,0,30.2,12.3,234.8,1014.1,72.6,15.1,23.2,1.9,3,,2023-11-07T07:46:30,2023-11-07T17:21:29,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-08,55.2,44.7,49.5,55.2,39.9,47.2,45.4,86.2,0.041,100,16.67,rain,0,0,37.1,15,203.3,1014,93.9,13.5,16.9,1.5,1,,2023-11-08T07:48:05,2023-11-08T17:20:01,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-09,52.6,46.1,49.6,52.6,41.5,47.9,45.9,87,0.051,100,37.5,rain,0,0,31.3,12.8,224.1,1004.8,92.5,12.8,15.6,1.4,1,,2023-11-09T07:49:41,2023-11-09T17:18:35,0.87,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-10,53.2,43.8,47.7,53.2,38.4,44,42.8,83.1,0.071,100,16.67,rain,0,0,35.7,15.9,238.7,1001.7,79.1,13.8,19.5,1.7,1,,2023-11-10T07:51:16,2023-11-10T17:17:11,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
paris,2023-11-11,52.6,42.9,46.5,52.6,38.6,43.9,42.8,87.4,0.02,100,20.83,rain,0,0,18.6,8,254.5,1009.4,83.6,12.7,15.1,1.4,1,,2023-11-11T07:52:51,2023-11-11T17:15:50,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-12,55.1,43.8,48.9,55.1,39.5,46.9,47.5,94.9,0.328,100,58.33,rain,0,0,25.5,12.4,192.2,1006.1,99.4,6.7,10.6,0.9,1,,2023-11-12T07:54:26,2023-11-12T17:14:30,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-13,62.5,53.6,58,62.5,53.6,58,54.6,88.6,0.184,100,50,rain,0,0,37.5,15.9,231.8,1007.9,91,11.7,11,1,1,,2023-11-13T07:56:00,2023-11-13T17:13:12,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-14,56,52.3,54.2,56,52.3,54.2,49,82.6,0.024,100,16.67,rain,0,0,36.8,15,242.3,1011.5,85.6,13.2,8.6,0.7,1,,2023-11-14T07:57:34,2023-11-14T17:11:56,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
paris,2023-11-15,55.7,46.5,51.4,55.7,46.5,50.9,46.5,83.3,0,0,0,,0,0,25.3,12.1,250.5,1020.7,81.1,14.1,12.9,1.2,1,,2023-11-15T07:59:08,2023-11-15T17:10:42,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-16,51,46.2,47.9,51,40.9,45.2,46.4,94.5,0.708,100,50,rain,0,0,31.6,13.8,99.8,1012.2,97.6,7.1,12.7,1.2,1,,2023-11-16T08:00:41,2023-11-16T17:09:31,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
paris,2023-11-17,52.8,45.7,47.9,52.8,42.1,46.2,44,86.4,0.086,100,20.83,rain,0,0,24,8.6,260.8,1022.8,86.2,13.4,38.4,3.4,3,,2023-11-17T08:02:14,2023-11-17T17:08:22,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999,D3623"
paris,2023-11-18,57.7,47.2,51.2,57.7,43,49.7,49.6,94.4,0.486,100,62.5,rain,0,0,28.2,12.5,203.3,1020.2,99.2,9.5,5.3,0.4,0,,2023-11-18T08:03:46,2023-11-18T17:07:15,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,07153099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-19,59.1,51.8,56.1,59.1,51.8,56.1,50.2,81.3,0,0,0,,0,0,33.9,16.9,241,1016.6,80.5,13.9,18.1,1.6,1,,2023-11-19T08:05:18,2023-11-19T17:06:10,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-20,54.4,49.4,51.3,54.4,47.4,51.1,46.5,83.7,0.006,100,12.5,rain,0,0,31.4,15.6,241,1014.4,92.8,12.1,10,0.9,1,,2023-11-20T08:06:48,2023-11-20T17:05:08,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-21,53.6,48.7,51.1,53.6,46.3,50.5,48.5,90.6,0.074,100,33.33,rain,0,0,25.8,10.6,343.9,1018.3,95.2,11.1,9.8,1,0,,2023-11-21T08:08:18,2023-11-21T17:04:08,0.29,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-22,49.9,42.2,46.1,46,35.7,42.2,38.3,74.6,0,0,0,,0,0,29.3,14.4,16.6,1029.8,74.9,11.3,16.8,1.5,2,,2023-11-22T08:09:47,2023-11-22T17:03:11,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-23,53.9,43.2,50.1,53.9,40.5,49.4,45.6,84.8,0.008,100,8.33,rain,0,0,25.9,8.8,267.1,1028.2,98.9,12.2,8.4,0.7,1,,2023-11-23T08:11:16,2023-11-23T17:02:16,0.36,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-24,52.9,41.1,48.9,52.9,35.2,46.8,40.9,74.6,0.014,100,12.5,rain,0,0,31.7,14.2,329.9,1019.9,85.1,13.6,10.4,0.8,1,,2023-11-24T08:12:43,2023-11-24T17:01:24,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-25,46,38.2,41.1,41.4,32.5,36.2,32.9,72.8,0,0,0,,0,0,23.6,10.7,316.4,1020.5,28.9,14.5,15.3,1.3,1,,2023-11-25T08:14:09,2023-11-25T17:00:34,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-26,44.1,34,38.9,39.8,31.2,35.8,32.9,79.3,0.001,100,4.17,rain,0,0,18,8.1,234.1,1019.4,77.1,12.7,20,1.7,1,,2023-11-26T08:15:34,2023-11-26T16:59:47,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-27,48.4,39.1,43.3,44.2,33.6,38.2,40.5,89.8,0.207,100,50,rain,0,0,32.3,13.4,234.9,1004,98,9.7,7.3,0.5,0,,2023-11-27T08:16:58,2023-11-27T16:59:03,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-28,44.9,38.1,42.2,41.3,34.8,37.7,36.4,80.3,0.015,100,12.5,rain,0,0,30.3,12.8,334.5,1007.3,75.4,13.4,16.8,1.3,1,,2023-11-28T08:18:20,2023-11-28T16:58:21,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-29,47.8,36.4,41.3,44.5,31.4,38.6,37,85,0,0,0,,0,0,17.1,8.1,208.6,1006.5,84.1,10.7,16,1.3,1,,2023-11-29T08:19:41,2023-11-29T16:57:43,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-30,44.8,36.6,40.2,42.7,33,36.7,35,82.3,0.001,100,4.17,rain,0,0,18.6,8.8,84.3,1000.1,89,10.7,9.9,0.8,1,,2023-11-30T08:21:01,2023-11-30T16:57:07,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-12-01,40.6,33.2,37.2,36.1,25.5,31.2,32.2,82.1,0,0,0,,0,0,22.9,11.3,34.6,1004.6,99,5.8,7.4,0.7,1,,2023-12-01T08:22:20,2023-12-01T16:56:33,0.63,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-12-02,38,29.3,33.1,34.5,21.4,27.3,24.4,70.9,0,0,0,,0,0,21.8,11.2,349.6,1015.8,51.5,8.4,12.8,1.1,1,,2023-12-02T08:23:36,2023-12-02T16:56:03,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-12-03,38.3,28.4,33.5,31.9,21.4,26.4,25.7,73.1,0,0,0,,0,0,31.7,13.3,180,1019.3,84,9.6,16.9,1.4,1,,2023-12-03T08:24:51,2023-12-03T16:55:36,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-12-04,49.1,36.9,42.9,44.5,29.7,37.3,37.8,83.1,0.387,100,41.67,rain,0,0,31.7,13.2,183.4,1002.2,99.3,10.7,5.8,0.5,0,,2023-12-04T08:26:05,2023-12-04T16:55:11,0.73,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
